{'rf_pred': 0, 'rf_prob': 0.3, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.332389} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.27, 'xgb_pred': 1, 'xgb_prob': 0.5413, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.222711} | ⚠️ WARNING: Suspicious Traffic | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.24, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.239102} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.26, 'xgb_pred': 0, 'xgb_prob': 0.0616, 'lr_pred': 1, 'lr_prob': 0.9878, 'anomaly': 0, 'error': 0.0014} | NORMAL TRAFFIC | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.39, 'xgb_pred': 1, 'xgb_prob': 0.5451, 'lr_pred': 1, 'lr_prob': 0.9999, 'anomaly': 0, 'error': 0.004808} | ⚠️ WARNING: Suspicious Traffic | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.3, 'xgb_pred': 0, 'xgb_prob': 0.124, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 8.766785} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🔴 HIGH
{'rf_pred': 0, 'rf_prob': 0.32, 'xgb_pred': 0, 'xgb_prob': 0.0588, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 2.125846} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.35, 'xgb_pred': 1, 'xgb_prob': 0.5374, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.127975} | ⚠️ WARNING: Suspicious Traffic | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.33, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.533809} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.31, 'xgb_pred': 0, 'xgb_prob': 0.0557, 'lr_pred': 1, 'lr_prob': 0.9997, 'anomaly': 0, 'error': 0.002139} | NORMAL TRAFFIC | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.32, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 1.231576} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.37, 'xgb_pred': 0, 'xgb_prob': 0.0703, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 199.526631} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🔴 HIGH
{'rf_pred': 0, 'rf_prob': 0.33, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.200195} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.32, 'xgb_pred': 0, 'xgb_prob': 0.0588, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 2.125846} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.27, 'xgb_pred': 1, 'xgb_prob': 0.5413, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.222711} | ⚠️ WARNING: Suspicious Traffic | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.37, 'xgb_pred': 0, 'xgb_prob': 0.0703, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 13.30224} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🔴 HIGH
{'rf_pred': 0, 'rf_prob': 0.3, 'xgb_pred': 0, 'xgb_prob': 0.124, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 8.766785} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🔴 HIGH
{'rf_pred': 0, 'rf_prob': 0.28, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.307372} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.32, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 1.231576} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.26, 'xgb_pred': 0, 'xgb_prob': 0.0616, 'lr_pred': 1, 'lr_prob': 0.9878, 'anomaly': 0, 'error': 0.0014} | NORMAL TRAFFIC | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.31, 'xgb_pred': 0, 'xgb_prob': 0.0557, 'lr_pred': 1, 'lr_prob': 0.9997, 'anomaly': 0, 'error': 0.002139} | NORMAL TRAFFIC | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.33, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.533809} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.39, 'xgb_pred': 1, 'xgb_prob': 0.5451, 'lr_pred': 1, 'lr_prob': 0.9999, 'anomaly': 0, 'error': 0.004808} | ⚠️ WARNING: Suspicious Traffic | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.33, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.200195} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.3, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.339147} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.36, 'xgb_pred': 1, 'xgb_prob': 0.5374, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.062101} | ⚠️ WARNING: Suspicious Traffic | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.42, 'xgb_pred': 1, 'xgb_prob': 0.5374, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.091497} | ⚠️ WARNING: Suspicious Traffic | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.35, 'xgb_pred': 1, 'xgb_prob': 0.5374, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.127975} | ⚠️ WARNING: Suspicious Traffic | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.3, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.332389} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.29, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.369679} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.32, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.899055} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.24, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.239102} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.37, 'xgb_pred': 0, 'xgb_prob': 0.0703, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 199.526631} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🔴 HIGH
{'rf_pred': 0, 'rf_prob': 0.3, 'xgb_pred': 0, 'xgb_prob': 0.124, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 8.766785} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🔴 HIGH
{'rf_pred': 0, 'rf_prob': 0.26, 'xgb_pred': 0, 'xgb_prob': 0.0616, 'lr_pred': 1, 'lr_prob': 0.9878, 'anomaly': 0, 'error': 0.0014} | Normal Traffic | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.24, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.239102} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.33, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.533809} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.29, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.369679} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.36, 'xgb_pred': 1, 'xgb_prob': 0.5374, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.062101} | ⚠️ WARNING: Suspicious Traffic | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.33, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.200195} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.37, 'xgb_pred': 0, 'xgb_prob': 0.0703, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 13.30224} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🔴 HIGH
{'rf_pred': 0, 'rf_prob': 0.28, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.307372} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.37, 'xgb_pred': 0, 'xgb_prob': 0.0703, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 199.526631} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🔴 HIGH
{'rf_pred': 0, 'rf_prob': 0.35, 'xgb_pred': 1, 'xgb_prob': 0.5374, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.127975} | ⚠️ WARNING: Suspicious Traffic | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.27, 'xgb_pred': 1, 'xgb_prob': 0.5413, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.222711} | ⚠️ WARNING: Suspicious Traffic | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.32, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 1.231576} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.3, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.339147} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.32, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.899055} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.39, 'xgb_pred': 1, 'xgb_prob': 0.5451, 'lr_pred': 1, 'lr_prob': 0.9999, 'anomaly': 0, 'error': 0.004808} | ⚠️ WARNING: Suspicious Traffic | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.32, 'xgb_pred': 0, 'xgb_prob': 0.0588, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 2.125846} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.3, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.332389} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.31, 'xgb_pred': 0, 'xgb_prob': 0.0557, 'lr_pred': 1, 'lr_prob': 0.9997, 'anomaly': 0, 'error': 0.002139} | Normal Traffic | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.42, 'xgb_pred': 1, 'xgb_prob': 0.5374, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.091497} | ⚠️ WARNING: Suspicious Traffic | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.32, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.899055} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.32, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 1.231576} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.29, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.369679} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.28, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.307372} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.42, 'xgb_pred': 1, 'xgb_prob': 0.5374, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.091497} | ⚠️ WARNING: Suspicious Traffic | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.3, 'xgb_pred': 0, 'xgb_prob': 0.124, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 8.766785} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🔴 HIGH
{'rf_pred': 0, 'rf_prob': 0.31, 'xgb_pred': 0, 'xgb_prob': 0.0557, 'lr_pred': 1, 'lr_prob': 0.9997, 'anomaly': 0, 'error': 0.002139} | Normal Traffic | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.36, 'xgb_pred': 1, 'xgb_prob': 0.5374, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.062101} | ⚠️ WARNING: Suspicious Traffic | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.37, 'xgb_pred': 0, 'xgb_prob': 0.0703, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 13.30224} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🔴 HIGH
{'rf_pred': 0, 'rf_prob': 0.3, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.332389} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.3, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.339147} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.33, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.533809} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.39, 'xgb_pred': 1, 'xgb_prob': 0.5451, 'lr_pred': 1, 'lr_prob': 0.9999, 'anomaly': 0, 'error': 0.004808} | ⚠️ WARNING: Suspicious Traffic | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.35, 'xgb_pred': 1, 'xgb_prob': 0.5374, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.127975} | ⚠️ WARNING: Suspicious Traffic | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.32, 'xgb_pred': 0, 'xgb_prob': 0.0588, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 2.125846} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.33, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.200195} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.27, 'xgb_pred': 1, 'xgb_prob': 0.5413, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.222711} | ⚠️ WARNING: Suspicious Traffic | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.26, 'xgb_pred': 0, 'xgb_prob': 0.0616, 'lr_pred': 1, 'lr_prob': 0.9878, 'anomaly': 0, 'error': 0.0014} | Normal Traffic | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.37, 'xgb_pred': 0, 'xgb_prob': 0.0703, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 199.526631} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🔴 HIGH
{'rf_pred': 0, 'rf_prob': 0.24, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.239102} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.35, 'xgb_pred': 1, 'xgb_prob': 0.5374, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.127975} | ⚠️ WARNING: Suspicious Traffic | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.31, 'xgb_pred': 0, 'xgb_prob': 0.0557, 'lr_pred': 1, 'lr_prob': 0.9997, 'anomaly': 0, 'error': 0.002139} | Normal Traffic | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.26, 'xgb_pred': 0, 'xgb_prob': 0.0616, 'lr_pred': 1, 'lr_prob': 0.9878, 'anomaly': 0, 'error': 0.0014} | Normal Traffic | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.3, 'xgb_pred': 0, 'xgb_prob': 0.124, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 8.766785} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🔴 HIGH
{'rf_pred': 0, 'rf_prob': 0.37, 'xgb_pred': 0, 'xgb_prob': 0.0703, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 13.30224} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🔴 HIGH
{'rf_pred': 0, 'rf_prob': 0.32, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.899055} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.36, 'xgb_pred': 1, 'xgb_prob': 0.5374, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.062101} | ⚠️ WARNING: Suspicious Traffic | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.42, 'xgb_pred': 1, 'xgb_prob': 0.5374, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.091497} | ⚠️ WARNING: Suspicious Traffic | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.28, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.307372} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.3, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.332389} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.39, 'xgb_pred': 1, 'xgb_prob': 0.5451, 'lr_pred': 1, 'lr_prob': 0.9999, 'anomaly': 0, 'error': 0.004808} | ⚠️ WARNING: Suspicious Traffic | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.33, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.200195} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.24, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.239102} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.29, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.369679} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.32, 'xgb_pred': 0, 'xgb_prob': 0.0588, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 2.125846} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.32, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 1.231576} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.37, 'xgb_pred': 0, 'xgb_prob': 0.0703, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 199.526631} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🔴 HIGH
{'rf_pred': 0, 'rf_prob': 0.3, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.339147} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.33, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.533809} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.27, 'xgb_pred': 1, 'xgb_prob': 0.5413, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.222711} | ⚠️ WARNING: Suspicious Traffic | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.3, 'xgb_pred': 0, 'xgb_prob': 0.124, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 8.766785} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🔴 HIGH
{'rf_pred': 0, 'rf_prob': 0.3, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.339147} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.33, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.200195} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.32, 'xgb_pred': 0, 'xgb_prob': 0.0588, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 2.125846} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.24, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.239102} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.29, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.369679} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.32, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 1.231576} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.42, 'xgb_pred': 1, 'xgb_prob': 0.5374, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.091497} | ⚠️  WARNING: Suspicious Traffic | Severity: 🟠 MEDIUM
{'rf_pred': 0, 'rf_prob': 0.28, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.307372} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.26, 'xgb_pred': 0, 'xgb_prob': 0.0616, 'lr_pred': 1, 'lr_prob': 0.9878, 'anomaly': 0, 'error': 0.0014} | Normal Traffic | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.33, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.533809} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.32, 'xgb_pred': 0, 'xgb_prob': 0.052, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.899055} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🟢 LOW
{'rf_pred': 0, 'rf_prob': 0.37, 'xgb_pred': 0, 'xgb_prob': 0.0703, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 199.526631} | UNKNOWN ATTACK: Anomaly Detected | Severity: 🔴 HIGH
{'rf_pred': 0, 'rf_prob': 0.35, 'xgb_pred': 1, 'xgb_prob': 0.5374, 'lr_pred': 1, 'lr_prob': 1.0, 'anomaly': 1, 'error': 0.127975} | ⚠️  WARNING: Suspicious Traffic | Severity: 🟠 MEDIUM
